@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.859",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.011843648925323413
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.008371333535461656
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.008371333535461656
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.008371333535461656
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.008371333535461656
